Time,Time Code,Country Name,Country Code,Population density (people per sq. km of land area) [EN.POP.DNST],"Population, total [SP.POP.TOTL]",GDP growth (annual %) [NY.GDP.MKTP.KD.ZG],GDP per capita (constant 2015 US$) [NY.GDP.PCAP.KD],GDP (current US$) [NY.GDP.MKTP.CD],Gini index [SI.POV.GINI]
2023,YR2023,Afghanistan,AFG,..,41454761,2.26694373649188,378.06630312259,17152234636.8715,..
2023,YR2023,Bangladesh,BGD,..,171466990,5.77511237007889,1885.37733613545,437415333018.291,..
2023,YR2023,Bhutan,BTN,..,786385,4.88259396253632,3488.84449072501,3019253885.46989,..
2023,YR2023,India,IND,..,1438069596,9.19075493028345,2270.9051808027,3638489096033.86,..
2023,YR2023,Maldives,MDV,..,525994,4.72639195043021,11415.939508912,6590894301.9579,..
2023,YR2023,Sri Lanka,LKA,..,22037000,-2.3298481898334,3964.91987394354,83716142582.1945,..
2023,YR2023,Pakistan,PAK,..,247504495,-0.0398389716673506,1616.39670074066,337885531778.052,..
2023,YR2023,Nepal,NPL,..,29694614,1.98254843628392,1136.42769313825,41047772331.0994,..
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,
Last Updated: 07/01/2025,,,,,,,,,
